    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
 277    58.09          40821.9      115        0.0204496              N/A     16.91s 46
 278    57.07          4708.46      119        0.0204342              N/A     18.02s 46
 279    56.00          44700.4      119        0.0204342              N/A     15.97s 46
 280    55.52          1623.02      119        0.0204342              N/A     14.56s 46
 281    56.27      5.07045e+09      119        0.0204342              N/A     17.03s 46
 282    54.32          17673.4      119        0.0204342              N/A     15.43s 46
 283    57.27          1462.74      119        0.0204342              N/A     13.93s 46
 284    58.80           389579      119        0.0204342              N/A     11.38s 46
 285    56.98          2152.84      119        0.0204342              N/A     11.13s 46
 286    56.54           543307      119        0.0203668              N/A     11.20s 46
 287    56.84          2555.16      119         0.020246              N/A      9.62s 45
 288    56.50          24942.2      119         0.020246              N/A      8.32s 45
 289    61.97           268347      119        0.0202447              N/A      8.30s 45
 290    58.07          15288.5      113         0.020161              N/A      7.90s 44
 291    56.59      3.51424e+07      113         0.020161              N/A      6.29s 44
 292    57.15          21110.5      113         0.020161              N/A      6.05s 45
 293    57.08            38193      113         0.020161              N/A      4.90s 45
 294    56.52      1.22072e+06      113         0.020161              N/A      4.13s 46
 295    61.70          6585.73      113         0.020161              N/A      2.97s 46
 296    57.83      4.81441e+06      113         0.020161              N/A      2.75s 47
 297    59.98          9358.36      113         0.020161              N/A      2.05s 47
 298    60.27          7597.66      113         0.020161              N/A      1.00s 46
 299    58.14          4253.28      113         0.020161              N/A      0.00s 47
 300    62.78          34139.6      113         0.020161              N/A     43.68s 47
 301    60.42           82.898      113         0.020161              N/A     29.13s 47
 302    59.00          1317.21      113         0.020161              N/A     41.68s 47
 303    57.88      1.11229e+06      113         0.020161              N/A     35.65s 46
 304    60.78          23029.4      113         0.020161              N/A     37.57s 46
 305    60.84          23948.9      113         0.020161              N/A     36.60s 46
 306    61.15          2666.74      113         0.020161              N/A     36.20s 46
 307    61.42          88203.5      113         0.020161              N/A     36.56s 46
 308    60.19          6328.58      113         0.020161              N/A     34.47s 46
 309    58.09          4197.52      113         0.020161              N/A     29.64s 46
 310    57.07      1.13878e+09      113         0.020161              N/A     32.63s 46
 311    59.49          4897.77      113         0.020161              N/A     29.40s 47
 312    61.27          6739.27      113         0.020161              N/A     31.43s 47
 313    60.05           306801      113         0.020161              N/A     28.37s 47
 314    55.88          12196.6      113         0.020161              N/A     27.68s 47
 315    60.26          14915.4      115        0.0201411              N/A     30.11s 48
 316    61.31           233191      115        0.0201411              N/A     26.81s 45
 317    61.02          10919.5      115        0.0201411              N/A     28.51s 45
 318    62.34          16631.4      115        0.0201411              N/A     26.63s 45
 319    63.90          4160.62      115        0.0201411              N/A     24.17s 45
 320    61.30          1491.66      115        0.0201411              N/A     23.09s 45
 321    59.18          6742.64      115        0.0201411              N/A     25.88s 45
 322    59.48      6.65912e+06      115        0.0201411              N/A     22.69s 45
 323    59.85          18780.1      115        0.0201411              N/A     21.77s 45
 324    59.25      9.42493e+06      121        0.0201316              N/A     21.25s 45
 325    58.71          9309.82      119        0.0201268              N/A     17.20s 45
 326    61.28          13406.5      119        0.0201268              N/A     20.73s 45
 327    62.12          19149.6      119        0.0201268              N/A     18.78s 45
 328    62.40          12207.2      119        0.0200976              N/A     18.55s 45
 329    57.98      8.22978e+06      119        0.0200976              N/A     18.67s 45
 330    60.10          15402.5      117        0.0200327              N/A     15.76s 45
 331    63.25          3045.78      117        0.0200277              N/A     12.78s 45
 332    62.36          1644.71      117        0.0200277              N/A     13.87s 45
