    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
 246    37.51       2.0672e+12      113        0.0113984              N/A      2.80s 28
 247    39.22          42.2846      125        0.0112555              N/A      1.65s 30
 248    44.84          2125.29      125        0.0111773              N/A      0.91s 31
 249    46.82          6949.03      125        0.0111773              N/A      0.00s 32
 250    49.99          1788.25      119        0.0111695              N/A     50.71s 30
 251    46.77          20.2867      119        0.0111695              N/A     44.06s 32
 252    48.64          3526.66      109        0.0111486              N/A     45.23s 31
 253    48.25      9.05027e+17      109        0.0111486              N/A     48.58s 31
 254    47.55           713880      109        0.0111085              N/A     46.17s 31
 255    48.08          76.2811      107        0.0110988              N/A     44.94s 30
 256    43.73           442859      103        0.0110809              N/A     54.91s 30
 257    42.02          10753.8      107        0.0110741              N/A     50.86s 31
 258    44.16          436.557      107        0.0110741              N/A     43.30s 32
 259    46.95          242.077      107        0.0110741              N/A     44.31s 32
 260    46.69          1316.75      105        0.0110734              N/A     34.03s 32
 261    44.75          291.226      105        0.0110734              N/A     38.91s 33
 262    45.99      8.71656e+07      105        0.0110734              N/A     46.30s 34
 263    48.26          198.582       87        0.0110126              N/A     42.70s 33
 264    47.39           147.75       87        0.0110126              N/A     26.70s 31
 265    44.61            240.2       87        0.0110126              N/A     36.46s 31
 266    41.71          18387.8       87        0.0110126              N/A     35.02s 31
 267    44.88          269.951       87        0.0109348              N/A     34.82s 31
 268    42.45          271.547       87        0.0109348              N/A     37.89s 31
 269    42.13            258.8       87        0.0109348              N/A     33.63s 32
 270    43.33            89238       89        0.0108963              N/A     28.19s 34
 271    45.85          10.2181       89        0.0108963              N/A     26.43s 34
 272    46.31          148.043       89        0.0108963              N/A     33.64s 34
 273    46.96          24.8432       87        0.0108963              N/A     32.61s 34
 274    42.52          48723.8       87        0.0108963              N/A     26.02s 34
 275    44.75          19503.7       87        0.0108963              N/A     25.11s 34
 276    44.36           1408.7       87        0.0108963              N/A     27.70s 35
 277    44.62          33.7544       83        0.0108412              N/A     26.37s 36
 278    47.38          56.6103       83        0.0108412              N/A     22.77s 36
 279    47.09          5535.87       83        0.0108412              N/A     21.03s 37
 280    46.46          1221.27       83        0.0108412              N/A     16.76s 37
 281    46.64          1426.23       83        0.0108412              N/A     18.53s 37
 282    44.34          153.374       83        0.0108412              N/A     16.25s 37
 283    48.16          34.2746       83        0.0108412              N/A     10.88s 37
 284    46.82           3695.7       83        0.0108412              N/A     15.07s 35
 285    44.03          40.7189       83        0.0108412              N/A     14.25s 35
 286    45.14          97.3322       83        0.0108412              N/A      9.63s 35
 287    44.13          1567.11       81        0.0108438              N/A     11.44s 35
 288    45.20          2055.28       83        0.0107427              N/A     12.22s 36
 289    46.67          12.4519       83        0.0107427              N/A      9.91s 36
 290    47.24          488.377       83        0.0107427              N/A      9.44s 36
 291    46.87          49.0734       83        0.0107427              N/A      9.33s 36
