    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
 185    83.98          1.40242      115         0.011166              N/A     26.15s
 186    87.41         0.239575      111        0.0111008              N/A     31.01s
 187    86.47         0.902649      111        0.0109347              N/A     24.81s
 188    85.48         0.235538       93         0.011173              N/A     25.86s
 189    87.23        0.0911069      101        0.0110802              N/A     25.88s
 190    89.00         0.200277      101        0.0110802              N/A     29.43s
 191    88.61         0.111554       99        0.0110625              N/A     25.04s
 192    87.24        0.0982318      103        0.0108928              N/A     24.82s
 193    87.81         0.216417      105        0.0108737              N/A     26.06s
 194    88.58          0.10454      105        0.0108737              N/A     23.95s
 195    90.03         0.125358      183        0.0108962              N/A     24.40s
 196    87.49         0.108319       93        0.0110519              N/A     25.53s
 197    87.81         0.160263       93        0.0110519              N/A     21.47s
 198    87.40        0.0869075      103        0.0108928              N/A     21.84s
 199    87.91         0.162269      103        0.0108928              N/A     22.75s
 200    86.52        0.0938669      103        0.0108928              N/A     20.26s
 201    87.67         0.183859      103        0.0108928              N/A     22.61s
 202    90.89         0.212294      107        0.0106137              N/A     23.01s
 203    89.58         0.219775      107        0.0106137              N/A     21.66s
 204    89.81         0.238225      103        0.0108928              N/A     20.89s
 205    89.55         0.139198      113        0.0109507              N/A     24.95s
 206    90.80        0.0820342       97        0.0109129              N/A     23.15s
 207    91.58         0.225679      101        0.0109347              N/A     17.89s
 208    92.59         0.217753      107        0.0109298              N/A     21.25s
 209    93.23          0.13893      107        0.0106137              N/A     17.88s
 210    93.30            1.379      101        0.0108506              N/A     19.91s
 211    93.94         0.122627      101        0.0108506              N/A     17.48s
 212    91.03        0.0927231      101        0.0108506              N/A     17.37s
 213    92.30         0.111818      201        0.0107848              N/A     16.70s
 214    92.09         0.139559       97        0.0109129              N/A     16.82s
 215    91.51         0.143911      105        0.0108572              N/A     14.62s
 216    91.52         0.313258      113        0.0108408              N/A     14.05s
 217    92.17         0.159449      113        0.0108408              N/A     13.58s
 218    92.66         0.477444      107        0.0109298              N/A     14.76s
 219    91.04         0.108181      105        0.0108572              N/A     13.31s
 220    92.51         0.184136      107        0.0109298              N/A     12.66s
 221    92.49         0.266799       97        0.0109129              N/A     14.80s
 222    91.95         0.204361       97        0.0109129              N/A     12.24s
 223    90.11         0.169812      105        0.0108572              N/A     12.93s
 224    88.62        0.0836518      105        0.0108572              N/A     10.86s
 225    93.19         0.254926      107        0.0106137              N/A     13.13s
 226    92.44          34.8028      107        0.0106137              N/A     10.25s
 227    95.53         0.111037      101        0.0108506              N/A     10.09s
 228    92.08        0.0757617      101        0.0108506              N/A     11.60s
 229    94.40         0.212531      107        0.0108338              N/A      9.54s
 230    95.17         0.183115      107        0.0108338              N/A      7.86s
 231    91.19         0.140742      107        0.0106137              N/A      7.76s
 232    91.56         0.217989      107        0.0106137              N/A      7.66s
 233    92.18         0.105719      107        0.0106137              N/A      7.83s
 234    91.56         0.183022      107        0.0106137              N/A      6.43s
 235    91.76         0.189055      107        0.0106137              N/A      6.24s
 236    92.82         0.100962      107        0.0106137              N/A      6.05s
 237    92.42        0.0881381      107        0.0106137              N/A      5.54s
 238    91.66         0.129994      111        0.0104088              N/A      6.19s
 239    92.67          1.52505      111        0.0104088              N/A      4.34s
 240    93.05         0.213139      127        0.0107144              N/A      4.20s
 241    94.38          0.14077      105        0.0108138              N/A      3.72s
 242    92.04         0.142138      107        0.0106137              N/A      2.96s
 243    93.37         0.256431      107        0.0106137              N/A      2.63s
 244    91.81          0.13971      107        0.0106137              N/A      2.28s
 245    91.81         0.209366      113        0.0105208              N/A      2.35s
 246    91.65          0.15931      113        0.0105208              N/A      1.46s
 247    90.40         0.262561      113        0.0105208              N/A      1.25s
 248    90.86         0.252947      113        0.0105208              N/A      0.54s
 249    91.98         0.126844      113        0.0105208              N/A      0.00s
    |   Population Average    |             Best Individual              |
