    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen Complexity          Fitness Complexity          Fitness      OOB Fitness  Time Left
 168 9.04e+00          64.5168 9.00e+00        0.0526491              N/A      7.80s 0
 169 9.10e+00          728.657 9.00e+00        0.0526491              N/A      6.32s 0
 170 9.05e+00          267.302 9.00e+00        0.0526491              N/A      5.16s 0
 171 9.33e+00          171.036 9.00e+00        0.0526491              N/A      3.93s 0
 172 9.28e+00           671.54 9.00e+00        0.0526491              N/A      2.46s 0
 173 9.37e+00          1375.66 9.00e+00        0.0526491              N/A      1.28s 0
 174 8.97e+00          353.634 9.00e+00        0.0526491              N/A      0.00s 0
 175 9.22e+00          77.7491 9.00e+00        0.0526491              N/A     30.91s 0
 176 9.15e+00          1073.59 9.00e+00        0.0526491              N/A     29.59s 0
 177 9.07e+00          65.1692 9.00e+00        0.0526491              N/A     28.14s 0
 178 8.91e+00           298.88 9.00e+00        0.0526491              N/A     26.92s 0
 179 9.14e+00          63.5074 9.00e+00        0.0526491              N/A     25.81s 0
 180 9.16e+00          152.667 9.00e+00        0.0526491              N/A     23.99s 0
 181 9.10e+00          111.562 9.00e+00        0.0526491              N/A     22.80s 0
 182 9.12e+00          74.8594 9.00e+00        0.0526491              N/A     21.87s 0
 183 8.98e+00           109414 9.00e+00        0.0526491              N/A     20.70s 0
 184 8.77e+00          267.291 9.00e+00        0.0526491              N/A     19.18s 0
 185 9.31e+00          134.449 9.00e+00        0.0526491              N/A     16.90s 0
 186 8.84e+00          158.108 9.00e+00        0.0526491              N/A     16.84s 0
 187 9.12e+00          645.961 9.00e+00        0.0526491              N/A     15.42s 0
 188 9.09e+00          61.4953 9.00e+00        0.0526491              N/A     14.13s 0
 189 9.10e+00          806.342 9.00e+00        0.0526491              N/A     12.59s 0
 190 9.07e+00            32057 9.00e+00        0.0526491              N/A     11.39s 0
 191 9.07e+00          624.649 9.00e+00        0.0526491              N/A     10.37s 0
 192 9.22e+00          1070.75 9.00e+00        0.0526491              N/A      9.08s 0
 193 9.28e+00          134.631 9.00e+00        0.0526491              N/A      7.65s 0
 194 9.13e+00          1576.63 9.00e+00        0.0526491              N/A      6.46s 0
 195 9.11e+00           100018 9.00e+00        0.0526491              N/A      5.18s 0
 196 9.06e+00          192.578 9.00e+00        0.0526491              N/A      4.02s 0
 197 9.00e+00           881.09 9.00e+00        0.0526491              N/A      2.62s 0
 198 9.03e+00           241122 9.00e+00        0.0526491              N/A      1.25s 0
 199 9.25e+00          84.2332 9.00e+00        0.0526491              N/A      0.00s 0
 200 9.07e+00          502.021 9.00e+00        0.0526491              N/A     32.50s 0
 201 9.32e+00          155.417 9.00e+00        0.0526491              N/A     29.98s 0
 202 8.97e+00          138.703 9.00e+00        0.0526491              N/A     29.37s 0
 203 9.14e+00           190814 9.00e+00        0.0526491              N/A     27.87s 0
 204 9.08e+00          228.996 9.00e+00        0.0526491              N/A     25.78s 0
 205 8.87e+00          99944.7 9.00e+00        0.0526491              N/A     24.81s 0
 206 9.03e+00          223.098 9.00e+00        0.0526491              N/A     22.93s 0
 207 9.07e+00       1.2176e+06 9.00e+00        0.0526491              N/A     21.83s 0
 208 9.13e+00          69.3513 9.00e+00        0.0526491              N/A     20.81s 0
 209 8.99e+00          99943.9 9.00e+00        0.0526491              N/A     19.17s 0
 210 9.16e+00          653.182 9.00e+00        0.0526491              N/A     18.62s 0
